,DE4_amount_transaction,DE6_amount_cardholder_billing,amount_local,amount_tx_currency,amount_usd,DE9_conversion_rate_billing,client_baseline_amount,distance_from_home_km,hour_local,client_segment,channel,card_brand,DE2_PAN,DE3_processing_code,DE13_local_date,DE14_expiration_date,DE15_settlement_date,DE18_merchant_category_code,DE19_acquirer_country_code,DE22_pos_entry_mode,DE23_card_seq_number,DE25_pos_condition_code,DE39_response_code,DE49_currency_code_transaction,DE52_pin_data_present,DE55_emv_data_present,DE60_pos_terminal_type,DE61_pos_extended_data,DE123_pos_data_code,currency_tx_alpha,is_international,day_of_week,approved,client_home_city,is_fraud
55692,3399043.0,156356.0,1563.56,33990.43,226.6,460000.0,1617.16,2683.0,3.0,BLACK,POS,VISA,4212510000000000.0,0,411,2908,412.0,5311,392,51,1.0,0,0,392,Y,Y,POS-ATTENDED,0.0,05100Y,JPY,True,Fri,True,TARIJA,0.0
67262,47887.0,47887.0,478.87,478.87,69.4,10000000.0,973.51,3.7,22.0,BLACK,POS,MASTERCARD,5312710000000000.0,0,501,2808,502.0,5814,68,71,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,07100Y,BOB,False,Thu,True,POTOSI,0.0
94256,60745.0,60745.0,607.45,607.45,88.04,10000000.0,2489.35,19.4,13.0,PRIVATE,ECOM,VISA,4212500000000000.0,0,619,2901,620.0,5999,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Thu,True,POTOSI,0.0
15398,50493.0,50493.0,504.93,504.93,73.18,10000000.0,2421.76,8.0,14.0,PRIVATE,POS,VISA,4212510000000000.0,0,128,2901,129.0,7832,68,51,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Tue,True,POTOSI,0.0
47564,50330.0,50330.0,503.3,503.3,72.94,10000000.0,679.51,5.7,13.0,PRIVATE,ECOM,VISA,4795000000000000.0,0,327,2705,328.0,5651,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Thu,True,SUCRE,0.0
87973,315149.0,315149.0,3151.49,3151.49,456.74,10000000.0,1060.8,24.3,11.0,BLACK,ECOM,VISA,4795000000000000.0,0,608,2505,609.0,7011,68,81,1.0,59,54,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sun,False,SUCRE,0.0
68890,56324.0,56324.0,563.24,563.24,81.63,10000000.0,2017.64,1401.0,18.0,PRIVATE,MOTO,VISA,4212500000000000.0,0,504,2803,505.0,5969,68,10,3.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Sun,True,POTOSI,0.0
52473,338098.0,338098.0,3380.98,3380.98,490.0,10000000.0,2321.34,22.8,9.0,PRIVATE,ECOM,VISA,4212500000000000.0,0,405,2812,406.0,5311,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sat,True,SANTACRUZ,0.0
32023,946768.0,946768.0,9467.68,9467.68,1372.13,10000000.0,1607.3,6.4,9.0,BLACK,ECOM,VISA,4795010000000000.0,0,227,3003,228.0,4511,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Thu,True,TARIJA,0.0
38433,3037348.0,139718.0,1397.18,30373.48,202.49,460000.0,1693.39,10071.0,20.0,BLACK,ATM,MASTERCARD,5312710000000000.0,10000,310,2709,311.0,6011,392,51,2.0,0,0,392,Y,Y,ATM-UNATTENDED,0.0,05100Y,JPY,True,Mon,True,SUCRE,0.0
64370,18469.0,140177.0,1401.77,184.69,203.16,75898532.0,1856.63,7513.0,20.0,PRIVATE,ECOM,MASTERCARD,5312700000000000.0,0,426,2711,427.0,5732,724,81,3.0,59,0,978,N,N,ECOM-VIRTUAL,59.0,08159N,EUR,True,Sat,True,COCHABAMBA,0.0
67922,1305006.0,1305006.0,13050.06,13050.06,1891.31,10000000.0,1631.82,19.2,4.0,PRIVATE,MOTO,MASTERCARD,5312710000000000.0,0,503,3001,504.0,7011,68,10,1.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Sat,True,ORURO,0.0
57737,102483.0,102483.0,1024.83,1024.83,148.53,10000000.0,1520.93,19.7,19.0,PRIVATE,POS,MASTERCARD,5312710000000000.0,0,414,2706,415.0,5812,68,71,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,07100Y,BOB,False,Mon,True,COCHABAMBA,0.0
52458,405742.0,405742.0,4057.42,4057.42,588.03,10000000.0,2130.16,5.1,9.0,PRIVATE,ECOM,VISA,4212510000000000.0,0,405,2911,406.0,5732,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sat,True,ORURO,0.0
3882,29960.0,29960.0,299.6,299.6,43.42,10000000.0,727.03,9.5,16.0,PRIVATE,ATM,VISA,4795010000000000.0,10000,107,2709,108.0,6011,68,51,3.0,0,0,68,Y,Y,ATM-UNATTENDED,0.0,05100Y,BOB,False,Tue,True,LAPAZ,0.0
33630,66261.0,66261.0,662.61,662.61,96.03,10000000.0,1278.56,11.6,7.0,INFINITE,POS,VISA,4212500000000000.0,0,302,2901,303.0,5812,68,51,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Sun,True,SUCRE,0.0
29263,156766.0,156766.0,1567.66,1567.66,227.2,10000000.0,1924.46,756.0,9.0,BLACK,ATM,VISA,4795000000000000.0,10000,222,2701,223.0,6011,68,51,3.0,0,0,68,Y,Y,ATM-UNATTENDED,0.0,05100Y,BOB,False,Sat,True,SUCRE,0.0
38314,774727.0,774727.0,7747.27,7747.27,1122.79,10000000.0,1567.92,1.8,15.0,BLACK,ECOM,MASTERCARD,5312700000000000.0,0,310,3001,311.0,7011,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Mon,True,COCHABAMBA,0.0
20621,10551.0,10551.0,105.51,105.51,15.29,10000000.0,2164.9,7.2,21.0,PRIVATE,POS,MASTERCARD,5312710000000000.0,0,206,2702,207.0,4111,68,72,3.0,0,0,68,N,N,POS-ATTENDED,0.0,07200N,BOB,False,Thu,True,SUCRE,0.0
84823,103025.0,103025.0,1030.25,1030.25,149.31,10000000.0,1706.23,16.4,17.0,BLACK,ECOM,VISA,4795010000000000.0,0,602,2808,603.0,5969,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Mon,True,COCHABAMBA,0.0
57125,16360.0,124174.0,1241.74,163.6,179.96,75900978.0,2391.16,9633.0,16.0,PRIVATE,ATM,VISA,4212500000000000.0,10000,413,2903,414.0,6011,724,51,3.0,0,0,978,Y,Y,ATM-UNATTENDED,0.0,05100Y,EUR,True,Sun,True,SANTACRUZ,0.0
69716,47365.0,47365.0,473.65,473.65,68.64,10000000.0,1072.52,1488.0,10.0,PRIVATE,MOTO,VISA,4212510000000000.0,0,506,2711,507.0,8398,68,10,1.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Tue,True,LAPAZ,0.0
49375,2819957.0,129718.0,1297.18,28199.57,188.0,459999.0,2101.29,10006.0,16.0,PRIVATE,ECOM,VISA,4795010000000000.0,0,330,2706,331.0,5969,392,81,3.0,59,0,392,N,N,ECOM-VIRTUAL,59.0,08159N,JPY,True,Sun,True,SUCRE,0.0
58555,689745.0,689745.0,6897.45,6897.45,999.63,10000000.0,2057.52,8.9,9.0,BLACK,ECOM,MASTERCARD,5312700000000000.0,0,416,2902,417.0,7011,68,81,3.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Wed,True,ORURO,0.0
87787,78971.0,78971.0,789.71,789.71,114.45,10000000.0,800.96,11.6,23.0,PLATINUM,POS,VISA,4212510000000000.0,0,607,2702,608.0,5611,68,71,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,07100Y,BOB,False,Sat,True,SUCRE,0.0
39866,85717.0,85717.0,857.17,857.17,124.23,10000000.0,2432.31,277.0,11.0,BLACK,ECOM,VISA,4212510000000000.0,0,313,2909,314.0,5969,68,81,3.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Thu,True,ELALTO,0.0
78531,6772.0,51398.0,513.98,67.72,74.49,75897814.0,1641.5,3109.0,7.0,BLACK,ECOM,VISA,4795000000000000.0,0,522,2501,523.0,4814,380,81,3.0,59,54,978,N,N,ECOM-VIRTUAL,59.0,08159N,EUR,True,Thu,False,COCHABAMBA,0.0
67821,1039994.0,1039994.0,10399.94,10399.94,1507.24,10000000.0,2003.87,24.3,21.0,PRIVATE,ECOM,VISA,4795000000000000.0,0,502,2803,503.0,7011,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Fri,True,POTOSI,0.0
69196,35098.0,35098.0,350.98,350.98,50.87,10000000.0,985.81,2.7,11.0,PRIVATE,POS,MASTERCARD,5312700000000000.0,0,505,2708,506.0,5541,68,51,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Mon,True,ELALTO,0.0
97488,1710025.0,1710025.0,17100.25,17100.25,2478.3,10000000.0,2200.89,838.0,9.0,PRIVATE,MOTO,VISA,4212510000000000.0,0,625,2707,626.0,7011,68,10,1.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Wed,True,ORURO,0.0
8167,6590.0,50019.0,500.19,65.9,72.49,75901365.0,2230.89,9529.0,12.0,PRIVATE,MOTO,VISA,4212500000000000.0,0,115,2804,116.0,8398,380,10,2.0,8,0,978,N,N,MOTO-CLERK,8.0,01008N,EUR,True,Wed,True,SANTACRUZ,0.0
9653,70678.0,70678.0,706.78,706.78,102.43,10000000.0,2271.37,15.0,3.0,PLATINUM,POS,VISA,4795010000000000.0,0,118,2711,119.0,5193,68,71,3.0,0,0,68,Y,Y,POS-ATTENDED,0.0,07100Y,BOB,False,Sat,True,TARIJA,0.0
56749,14898.0,14898.0,148.98,148.98,21.59,10000000.0,1537.07,10.2,1.0,BLACK,ECOM,VISA,4795000000000000.0,0,413,2806,414.0,4816,68,81,3.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sun,True,SANTACRUZ,0.0
84431,104783.0,104783.0,1047.83,1047.83,151.86,10000000.0,2045.92,10.3,22.0,PRIVATE,POS,VISA,4795010000000000.0,0,601,3001,602.0,5999,68,71,3.0,0,0,68,Y,Y,POS-ATTENDED,0.0,07100Y,BOB,False,Sun,True,LAPAZ,0.0
42451,87244.0,87244.0,872.44,872.44,126.44,10000000.0,1458.04,24.0,9.0,BLACK,POS,VISA,4212500000000000.0,0,318,2608,319.0,5541,68,72,3.0,0,0,68,N,N,POS-ATTENDED,0.0,07200N,BOB,False,Tue,True,ELALTO,0.0
7501,165408.0,165408.0,1654.08,1654.08,239.72,10000000.0,2127.68,14.7,9.0,PRIVATE,POS,VISA,4795000000000000.0,90000,114,2611,115.0,5921,68,21,3.0,0,0,68,Y,N,POS-ATTENDED,0.0,02100Y,BOB,False,Tue,True,SUCRE,0.0
21403,126113.0,126113.0,1261.13,1261.13,182.77,10000000.0,1324.81,11.3,10.0,PLATINUM,POS,VISA,4212500000000000.0,0,208,3003,209.0,5812,68,51,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Sat,True,ORURO,0.0
28093,39394.0,39394.0,393.94,393.94,57.09,10000000.0,1202.14,56.0,7.0,BLACK,POS,VISA,4795000000000000.0,0,220,2708,219.0,5814,68,51,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Thu,True,POTOSI,0.0
83645,19083.0,19083.0,190.83,190.83,27.66,10000000.0,1282.35,22.8,13.0,INFINITE,ECOM,MASTERCARD,5312710000000000.0,0,531,2705,601.0,4816,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,0.0,08159N,BOB,False,Sat,True,SANTACRUZ,0.0
88565,251447.0,251447.0,2514.47,2514.47,364.42,10000000.0,2237.23,11.4,12.0,PRIVATE,MOTO,MASTERCARD,5312710000000000.0,0,609,3002,610.0,5967,68,10,2.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Mon,True,COCHABAMBA,0.0
95599,135316.0,135316.0,1353.16,1353.16,196.11,10000000.0,721.54,11.5,20.0,PLATINUM,POS,VISA,4795000000000000.0,0,621,2708,622.0,5311,68,71,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,07100Y,BOB,False,Sat,True,LAPAZ,0.0
38450,104665.0,104665.0,1046.65,1046.65,151.69,10000000.0,1178.53,5.3,20.0,PLATINUM,POS,VISA,4212510000000000.0,0,310,2810,311.0,5411,68,51,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Mon,True,TARIJA,0.0
33232,6653.0,6653.0,66.53,66.53,9.64,10000000.0,1312.72,724.0,13.0,BLACK,POS,VISA,4795000000000000.0,0,301,2707,302.0,4111,68,51,3.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Sat,True,COCHABAMBA,0.0
73755,860.0,7537.0,75.37,8.6,10.92,87639534.0,2350.8,11528.0,13.0,PLATINUM,POS,VISA,4212500000000000.0,0,513,2809,514.0,4111,826,51,1.0,0,0,826,Y,Y,POS-ATTENDED,0.0,05100Y,GBP,True,Tue,True,ORURO,0.0
40397,65056.0,570090.0,5700.9,650.56,826.22,87630656.0,1548.48,11559.0,10.0,INFINITE,ECOM,MASTERCARD,5312700000000000.0,0,314,2911,315.0,4511,826,81,1.0,59,0,826,N,N,ECOM-VIRTUAL,59.0,08159N,GBP,True,Fri,True,TARIJA,0.0
18236,667957.0,667957.0,6679.57,6679.57,968.05,10000000.0,1470.14,9.2,15.0,PRIVATE,ECOM,VISA,4795000000000000.0,0,202,2711,203.0,7011,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sun,True,TARIJA,0.0
23693,19622594.0,142522.0,1425.22,196225.94,206.55,72631.0,2354.25,9809.0,10.0,PRIVATE,ATM,VISA,4212510000000000.0,10000,212,2805,213.0,6011,152,51,2.0,0,0,152,Y,Y,ATM-UNATTENDED,0.0,05100Y,CLP,True,Wed,True,SANTACRUZ,0.0
26583,167888.0,167888.0,1678.88,1678.88,243.32,10000000.0,1405.71,1208.0,13.0,PLATINUM,POS,MASTERCARD,5312710000000000.0,0,217,2801,219.0,5651,68,71,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,07100Y,BOB,False,Mon,True,COCHABAMBA,0.0
23545,638608.0,638608.0,6386.08,6386.08,925.52,10000000.0,2216.84,16.8,1.0,BLACK,POS,VISA,4795000000000000.0,0,212,2701,213.0,8062,68,51,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Wed,True,SUCRE,0.0
49237,41103.0,41103.0,411.03,411.03,59.57,10000000.0,2225.92,22.6,12.0,PRIVATE,POS,MASTERCARD,5312700000000000.0,0,330,2706,331.0,5912,68,51,3.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Sun,True,LAPAZ,0.0
33476,72768.0,72768.0,727.68,727.68,105.46,10000000.0,871.13,6.6,21.0,PRIVATE,ATM,VISA,4795010000000000.0,10000,301,2902,302.0,6011,68,51,1.0,0,0,68,Y,Y,ATM-UNATTENDED,0.0,05100Y,BOB,False,Sat,True,ORURO,0.0
75348,295041.0,295041.0,2950.41,2950.41,427.6,10000000.0,813.86,8.3,12.0,PRIVATE,MOTO,VISA,4795000000000000.0,0,516,2908,517.0,7011,68,10,2.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Fri,True,COCHABAMBA,0.0
16777,144569.0,144569.0,1445.69,1445.69,209.52,10000000.0,2282.16,0.1,22.0,BLACK,POS,VISA,4795000000000000.0,0,130,2703,131.0,5611,68,51,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Thu,True,ORURO,0.0
78159,55001.0,55001.0,550.01,550.01,79.71,10000000.0,1103.35,7.7,13.0,BLACK,POS,VISA,4212510000000000.0,0,521,2901,522.0,5732,68,21,2.0,0,0,68,Y,N,POS-ATTENDED,0.0,02100Y,BOB,False,Wed,True,ELALTO,0.0
86088,61839.0,426689.0,4266.89,618.39,618.39,68999983.0,2445.89,3171.0,22.0,PRIVATE,POS,MASTERCARD,5312700000000000.0,0,604,2902,605.0,5732,840,72,3.0,0,0,840,N,N,POS-ATTENDED,0.0,07200N,USD,True,Wed,True,ORURO,0.0
78017,66586.0,66586.0,665.86,665.86,96.5,10000000.0,2385.46,8.8,8.0,PRIVATE,ECOM,VISA,4212510000000000.0,0,521,2808,522.0,4816,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Wed,True,POTOSI,0.0
86716,797377.0,797377.0,7973.77,7973.77,1155.62,10000000.0,2360.89,4.2,1.0,INFINITE,POS,MASTERCARD,5312710000000000.0,0,606,3002,607.0,5944,68,51,1.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Fri,True,LAPAZ,0.0
81831,114784.0,871211.0,8712.11,1147.84,1262.62,75900038.0,1133.5,5042.0,6.0,BLACK,ECOM,VISA,4795000000000000.0,0,528,2611,219.0,4511,250,81,3.0,59,0,978,N,N,ECOM-VIRTUAL,59.0,08159N,EUR,True,Wed,True,SANTACRUZ,0.0
19515,6514.0,49445.0,494.45,65.14,71.66,75905741.0,1335.99,7883.0,23.0,BLACK,POS,VISA,4795000000000000.0,0,204,2901,205.0,5912,380,51,1.0,0,0,978,Y,Y,POS-ATTENDED,0.0,05100Y,EUR,True,Tue,True,LAPAZ,0.0
38856,75480.0,75480.0,754.8,754.8,109.39,10000000.0,1713.53,20.0,14.0,PRIVATE,ECOM,VISA,4795000000000000.0,0,311,2501,312.0,5651,68,81,3.0,59,54,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Tue,False,POTOSI,0.0
52626,234010.0,234010.0,2340.1,2340.1,339.14,10000000.0,1249.58,13.2,14.0,PLATINUM,POS,VISA,4795010000000000.0,0,405,2904,406.0,5732,68,72,2.0,0,0,68,N,N,POS-ATTENDED,0.0,07200N,BOB,False,Sat,True,COCHABAMBA,0.0
43524,179224.0,179224.0,1792.24,1792.24,259.74,10000000.0,2207.33,20.3,9.0,BLACK,ATM,VISA,4212510000000000.0,10000,320,2912,321.0,6011,68,51,2.0,0,0,68,Y,Y,ATM-UNATTENDED,0.0,05100Y,BOB,False,Thu,True,LAPAZ,0.0
74341,262687.0,262687.0,2626.87,2626.87,380.71,10000000.0,729.59,1084.0,14.0,PLATINUM,POS,VISA,4212510000000000.0,0,514,2908,515.0,5944,68,10,2.0,1,0,68,N,N,POS-ATTENDED,1.0,01001N,BOB,False,Wed,True,COCHABAMBA,0.0
44110,93717.0,93717.0,937.17,937.17,135.82,10000000.0,824.29,1.1,10.0,BLACK,ECOM,MASTERCARD,5312700000000000.0,0,321,2712,322.0,5732,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Fri,True,SANTACRUZ,0.0
48299,673806.0,673806.0,6738.06,6738.06,976.53,10000000.0,1492.04,11.6,18.0,BLACK,MOTO,VISA,4212510000000000.0,0,328,2812,329.0,7011,68,10,1.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Fri,True,SUCRE,0.0
52738,97035.0,97035.0,970.35,970.35,140.63,10000000.0,2037.42,763.0,19.0,BLACK,ECOM,VISA,4795010000000000.0,0,405,2610,406.0,5311,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sat,True,SANTACRUZ,0.0
26318,195421.0,195421.0,1954.21,1954.21,283.22,10000000.0,2103.58,10.5,2.0,BLACK,ECOM,MASTERCARD,5312700000000000.0,0,217,2706,218.0,5311,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Mon,True,TARIJA,0.0
12195,14292.0,108477.0,1084.77,142.92,157.21,75900503.0,1593.5,4676.0,19.0,PRIVATE,ECOM,VISA,5312700000000000.0,0,122,3002,123.0,5969,724,81,1.0,59,0,978,N,N,ECOM-VIRTUAL,59.0,08159N,EUR,True,Wed,True,ORURO,0.0
34117,1365698.0,1365698.0,13656.98,13656.98,1979.27,10000000.0,1596.9,5.1,6.0,PLATINUM,POS,VISA,4212500000000000.0,0,303,2901,304.0,5944,68,72,3.0,0,0,68,N,N,POS-ATTENDED,0.0,07200N,BOB,False,Mon,True,LAPAZ,0.0
34556,157450.0,157450.0,1574.5,1574.5,228.19,10000000.0,919.12,4.0,21.0,BLACK,ECOM,MASTERCARD,5312710000000000.0,0,303,2905,304.0,5651,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Mon,True,ORURO,0.0
1653,13583.0,13583.0,135.83,135.83,19.69,10000000.0,1052.43,18.2,17.0,BLACK,ECOM,VISA,4212510000000000.0,0,103,3002,104.0,5651,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Fri,True,ELALTO,0.0
96108,571108.0,571108.0,5711.08,5711.08,827.69,10000000.0,2110.4,3.5,17.0,BLACK,POS,VISA,4795000000000000.0,0,622,2611,623.0,5732,68,51,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Sun,True,LAPAZ,0.0
64864,968293.0,968293.0,9682.93,9682.93,1403.32,10000000.0,2111.3,16.6,18.0,PRIVATE,MOTO,VISA,4212500000000000.0,0,427,3003,428.0,7011,68,10,1.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Wed,True,TARIJA,0.0
99985,40420.0,40420.0,404.2,404.2,58.58,10000000.0,1472.77,21.1,19.0,BLACK,MOTO,MASTERCARD,5312700000000000.0,0,629,2611,630.0,4814,68,10,2.0,8,0,68,N,N,MOTO-CLERK,8.0,01008N,BOB,False,Sun,True,SANTACRUZ,0.0
45963,82981.0,82981.0,829.81,829.81,120.26,10000000.0,1823.24,10.2,16.0,BLACK,POS,VISA,4212510000000000.0,0,324,2811,325.0,5732,68,21,3.0,0,0,68,Y,N,POS-ATTENDED,0.0,02100Y,BOB,False,Mon,True,SUCRE,0.0
64377,1891455.0,1891455.0,18914.55,18914.55,2741.24,10000000.0,2497.46,689.0,20.0,PRIVATE,ECOM,VISA,4212510000000000.0,0,426,2806,427.0,4511,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sat,True,POTOSI,0.0
23998,35750.0,35750.0,357.5,357.5,51.81,10000000.0,1259.83,3.4,20.0,PRIVATE,POS,MASTERCARD,5312700000000000.0,0,212,2701,213.0,5912,68,51,2.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Wed,True,ORURO,0.0
71731,671276.0,671276.0,6712.76,6712.76,972.86,10000000.0,1898.21,24.0,20.0,BLACK,ECOM,VISA,4795010000000000.0,0,509,3001,510.0,7011,68,81,3.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Fri,True,TARIJA,0.0
35610,217300.0,217300.0,2173.0,2173.0,314.93,10000000.0,1814.98,1455.0,18.0,BLACK,ECOM,VISA,4795000000000000.0,0,305,2612,306.0,5967,68,81,3.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Wed,True,ELALTO,0.0
32876,4784.0,4784.0,47.84,47.84,6.93,10000000.0,1463.5,8.6,19.0,PRIVATE,POS,VISA,4212510000000000.0,0,228,3002,301.0,5193,68,10,3.0,1,0,68,N,N,POS-ATTENDED,1.0,01001N,BOB,False,Fri,True,ELALTO,0.0
